episode,total_reward,emergency_rejections,icu_utilisation
1010,-123.0,2,0.74
1011,-24.0,2,0.66
1012,-49.0,4,0.7
1013,-90.0,1,0.92
1014,-113.0,5,0.46
1015,-65.0,2,0.72
1016,-103.0,7,0.6
1017,-42.0,5,0.72
1018,-110.0,6,0.68
1019,-178.0,7,1.0
1020,-28.0,6,0.48
1021,-130.0,7,0.74
1022,-75.0,4,0.96
1023,-66.0,5,0.52
1024,4.0,0,0.76
1025,-54.0,4,0.76
1026,-96.0,6,0.98
1027,-147.0,11,0.52
1028,-97.0,7,0.6
1029,-75.0,5,0.74
1030,-95.0,5,0.66
1031,-80.0,6,0.58
1032,-86.0,6,0.58
1033,-14.0,1,0.52
1034,-76.0,4,0.52
1035,-142.0,7,0.82
1036,-60.0,5,0.58
1037,-45.0,3,0.9
1038,-127.0,7,0.94
1039,15.0,1,0.38
1040,-8.0,2,0.72
1041,-66.0,5,0.64
1042,-92.0,4,0.68
1043,-142.0,4,0.94
1044,-32.0,4,0.52
1045,-104.0,9,0.92
1046,-61.0,3,0.84
1047,-57.0,7,0.8
1048,-106.0,7,0.78
1049,-46.0,0,0.66
1050,-98.0,4,0.6
1051,-32.0,5,0.64
1052,-88.0,5,0.74
1053,-93.0,8,0.52
1054,-93.0,5,0.68
1055,-61.0,6,0.54
1056,-115.0,9,0.64
1057,-89.0,8,0.48
1058,-31.0,3,0.56
1059,-105.0,8,0.66
